original,path,image_sha256,eligible_bits,header_width,declared_bytes,capacity_bytes,status,available_sha256,historical_bytes,historical_sha256,packed_sha256
32,liber-primus/data/relikd/p32.jpg,c0f778187a8e9ddbfc667a65929ac567430a2e38278a2022377984ac084e5f72,393372,31,2147483647,49167,DECLARED_LENGTH_EXCEEDS_CAPACITY,80c3c02ec29700a6e7b3a6d8c47f05a70f02bec1e0b22a6b937446b18f05bc74,49152,e3b79538f579f87531e592bc618ef888b86779eda275febf27938ab8432bfc40,8e908026a9345e5efdee985fdcaa7a92e300479109891d6d40d115f7188a3242
33,liber-primus/data/relikd/p33.jpg,13ff4c8d8ab934032a001b8c1fda16433aa44a38dd7272b3ff0dd7ac8300c62d,556239,31,2147483647,69525,DECLARED_LENGTH_EXCEEDS_CAPACITY,bc3260b392f21d49d7610128d9a85ea06f7d2bb45985516ab90e9a0b0e269df8,68608,2bf3e6a2a9892e4570f2b3d78929d7dc384d8c510085641ce5f4c6afc3e308e9,cae28df10ea1b216da1f2fdc254226d5aebd618a3d93f30d037524dc464b58a3
35,liber-primus/data/relikd/p35.jpg,d713dd913d9b835ac61f298e8c0855f5093599e348edaedef964710db8664afa,605071,31,2147483647,75629,DECLARED_LENGTH_EXCEEDS_CAPACITY,075faf6d591e8bab7404bfe73fafb29fa472334cefc5affb62e6f1c0c28d0a90,74752,d5b6e53ac7ccf80f6dddf304106899982fadaae6e8b9ae733490b07b20f2a393,a15d47738954b5ea1567cd55e832850120e6dab451e4e4db5524e5d75029b89f
36,liber-primus/data/relikd/p36.jpg,3b54a31a9e796e2c01b4e80d46e1092dee2e1142a7c61873e282078e2c776cb9,543498,31,2147483647,67932,DECLARED_LENGTH_EXCEEDS_CAPACITY,2299232195cd9d80bb59e7221ee1260f8223fc58a147912befba0767cb319fbd,67584,bf7d6a62a14f821edebae0fcea23aba9102b9d16a7bf97ee41a5b6899975bf7a,87a7af55a048b209c61d7c3dca1b7dbefd7c553681eec8915f2dbbbf104fb1c8
37,liber-primus/data/relikd/p37.jpg,cee96d7e71b7de4d4e57237faacefad791229c153202e8224e4bedda45fb8f43,537365,31,2147483647,67166,DECLARED_LENGTH_EXCEEDS_CAPACITY,67b9e9417dee6b23303821049f5d309637dc5e27674fa60032ca9615a733c817,66560,b29abccc5d0388882eafd9cf2d564c9693917bf2761bbb4c68b6bb9bb3a59deb,ab40ebd46939f1a6bcf4d3d751eda870880d8bd5039e3c9017c6330c5988e911
38,liber-primus/data/relikd/p38.jpg,aec1898f599f57265d6422f3082a481db94a27f62230affbadee595d05077f8c,553172,31,2147483647,69142,DECLARED_LENGTH_EXCEEDS_CAPACITY,c79c775f2e22a6d9262bdd0c60b560c464cbc5b14f4a4a71148bc0b74f8df829,68608,e40ba27e20c20488356860c6731200687f93a2420da4a3466ae1e852f3d2ba0b,e012c105203f74b2b92743309ed4bbf25268506e18f4eed4cc7d1491399faa80
40,liber-primus/data/relikd/p40.jpg,3f5af995b39f94f268d4aa94825a10f2429f4a3affa1921a7f627e6d1bfcfb69,756640,31,2147483647,94575,DECLARED_LENGTH_EXCEEDS_CAPACITY,23858700ebcbe3bef6e8ac4651f9383443a60755f9185e512429dc2148eb49e8,94208,96e28fee13051e809afeb315f48e0e3f2dbc12a624fd612fdd73e1e5d08d5923,81b81c7c6e34765c80ca9ca431eabdc87d5cba38e8996dc492fe788e1208f284
41,liber-primus/data/relikd/p41.jpg,134052dd794a7d11185cc6d942de3f9839bd2b767e0845b0f059f711b269bee2,813870,31,2147483647,101729,DECLARED_LENGTH_EXCEEDS_CAPACITY,e06070b546480d18c234e5ee79cc36233b0ebd41776f32b2cce6128941c5c4e8,101376,0c8297fb759a67408585d5d38a8bab04017d0219e05606bea0c3df70cf692c1c,9bbbe26290d85ced8f9225e4f0ee30b0ab6fc5577ce56d4b4857ffe28cd5b976
42,liber-primus/data/relikd/p42.jpg,e523427112ec6259e97d1711f0420469d961324dedb7dc4eac67ecd9543729f6,816345,31,2147483647,102038,DECLARED_LENGTH_EXCEEDS_CAPACITY,03164f7b872c3e7a82e3d6cc19ea56f90977faf75a86e9b1bc0c6c9340a0da5a,101376,b9c7dbf39220d009188aef54f1ef605d47fff363828ef406f63ac56797896a65,9175fa3d41ddb67633ebefdafba5ca874cc7ee66e111bb6c452defc66de0dcc3
43,liber-primus/data/relikd/p43.jpg,dc4cf22565ccabb2b3d366eb8bd6b74520e3169133a7bd725373aad2f49ac415,820718,31,2147483647,102585,DECLARED_LENGTH_EXCEEDS_CAPACITY,63f6a56bdd598ed951eba6fa16976fc5dd4a755ff2638dc162ccceb5ce53424e,102400,059d85660abce14960446d7776ab00c1deb97f405106f43b8695eb873c79268f,5401eaa038faff521325fd21e3434190e578abc2cfdd2bbc8e15a5c7dff9d0c6
45,liber-primus/data/relikd/p45.jpg,898b614af5473937a9abfcdc618160ba80ea44b07d4a479da4526be6e33f28d9,800833,31,2147483647,100099,DECLARED_LENGTH_EXCEEDS_CAPACITY,adc6e473717a523b23ec7d7cd44c8282719d04be359e978164f5c4ec80ecda27,99328,27f04bb1b66408e91823ae47d4b16447f19a14f2725444f7c4add7c87d1be869,b96f900742037c5130ed8a59ec4b2b49550882bb10162e3d8da67f84e9dcf23d
46,liber-primus/data/relikd/p46.jpg,05538b8ebf9ed2a5716d94284a753dd26582a0227f139cc4a27dc3f07b15d301,811247,31,2147483647,101401,DECLARED_LENGTH_EXCEEDS_CAPACITY,fee9eb1c8f6706e6dd26d00b5dc5995eb4ce8f104f7c0d6dd0fa4319cb381ab7,101376,31327253904e3cf51a5258b844d364c2d7763b335900ac464481e50091fb41ed,380b4eb3e148644aa5bb911174d7a76bec5941b6b438fee9e958dc51a036ce1d
47,liber-primus/data/relikd/p47.jpg,08ed86be5561c09ce5c773d8001b290cc505436db89637d66ea0f5a15818d1c8,820942,31,2147483647,102613,DECLARED_LENGTH_EXCEEDS_CAPACITY,415f1c3e80fb3ca55ed41a9f459953a2b03a3a16d5b099e3befeb8445cff48ca,102400,2e0095fe918b370eeb6f725380f9ccb908cf19844fffa92c677b64f50bd7c825,eb89aaccde9173711a536321f80867803890d8dbd7ff9b51152265ff1286bf08
48,liber-primus/data/relikd/p48.jpg,341da69e9d579528dd17b7659e23de210720429111dc76c512843eb1983100ea,832763,31,2147483647,104090,DECLARED_LENGTH_EXCEEDS_CAPACITY,57ffb9215298ea8adec147a365f02703da1e5548557fc87a65fb2fcca6a2ca32,103424,8b6510ca8871d7da2a3460cb23caa31838d61503cb83ac561dbb05d815618458,a9141db5600aa5e524ea3f37f4c3f51b06ae347ceeeb0323b34c3b5f6c56fb87
49,liber-primus/data/relikd/p49.jpg,aa3f89156756edf8b796a470a14a3db96516ad2fedf1ed98ccabc1a1cddc0335,664093,31,2147483647,83007,DECLARED_LENGTH_EXCEEDS_CAPACITY,c1df29c8cabb087b80d86257ad8e2836972da416b72cc7bc771b31f5d1487234,82944,78d9e8dca9bf6f2fef0801030bfafbfe78ee4555be91c05674a1f08a0120d0bb,873a308019309bdd0a457b02a287be1dded4df3057198ee9347c7b47fbbb49ba
51,liber-primus/data/relikd/p51.jpg,2b9d60f62b2bc65d040f7ae1bc0960d5a44ca251d2730d049a618074a83e208b,692043,31,2147483647,86500,DECLARED_LENGTH_EXCEEDS_CAPACITY,7f3a6b003f2a04a523be0bb8055decf0d86a635f7c11c76587d1c84c1cb1a03f,86016,be328f4d479b4a70301cf41b609a387d154e6d140f4fa87dd811578654a4e5fb,0a25dde8497093f9b2805385ffdd32e87fb9421701bb8753b332da2f465b5116
52,liber-primus/data/relikd/p52.jpg,d34a38f51759284f68fb916122ed6774c3b498dddb5537929355ac674453a0f3,824585,31,2147483647,103068,DECLARED_LENGTH_EXCEEDS_CAPACITY,fd50dc51d08cac84b23f98a5105d4ce6a0e85742cca7095108355d69825a507d,102400,021da9b35550050ca852965031e2909fa0b31072d76471644beb7e36c72e0b4c,ab421c18e76a45d8ba9fd2dc6e1d102d3f3f9026a4afbaaf72c209b6a7e323a8
53,liber-primus/data/relikd/p53.jpg,4ec7293ba72bd52384787646d204c8a68fefaf2d22673c40d27f23812d424548,758806,31,2147483647,94846,DECLARED_LENGTH_EXCEEDS_CAPACITY,9f7a9feaeec0e64d52c79d99db2dcac40b21feab68e3db17965f9a898c236585,94208,859aa9a1a230c64bae3833dc54ea9097e098f909de04d31704b4c747d1bd726b,63fd95e31b1364de3c3e9525130b218e3d91f0c24ef2e10d3408693d74960ead
55,liber-primus/data/relikd/p55.jpg,a80191592add93a86ed3868f9e4e6ba3944ec20c9ffccc7d3e221b461344beba,629181,31,2147483647,78643,DECLARED_LENGTH_EXCEEDS_CAPACITY,b7f66a996ffbb59e895d91bbf91b57c35969465c206ef967cf6f922cb90911d5,77824,a32f231c8e280213db3d2e242abe70d3192350272d167e7ebd2c927074164a2a,4e7a41028d09c70c7207a4eca518f797c9a3790de01b3ba002a2a1b38042bd6f
